序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
62,99,中信海直,中信海洋直升机股份有限公司,深圳市,罗湖区,126976.14,9098.33,1095,2000-07-31,--,,航空,通航运输、通航维修,通用航空飞行服务和维修服务
63,100,TCL集团,TCL集团股份有限公司,惠州市,惠城区,11157736.2,266439.5,75059,2004-01-30,--,,电视机,多媒体电子、移动通讯、家电,从事研究、开发、生产、销售电子产品及通讯设备、新型光电、液晶显示器件，五金交电，VCD、DVD视盘机，家庭影院系统，电子计算机及配件，电池，数字卫星电视接收机，建筑材料，普通机械。
64,150,宜华健康,宜华健康医疗股份有限公司,汕头市,澄海区,211617.32,17432.75,18022,2000-08-07,--,,医疗服务,房地产销售、医疗版块、养老版块,健康医疗服务
65,151,中成股份,中成进出口股份有限公司,北京市,丰台区,222859.8,8736.15,393,2000-09-06,--,,贸易,成套设备出口和工程承包、一般贸易、境外实业经营,成套设备与技术进出口、一般贸易和境外经营。
66,153,丰原药业,安徽丰原药业股份有限公司,芜湖市,无为县,257810.54,6534.81,4571,2000-09-20,--,,化学制剂,药品生产制造、药品零售流通,生物药、中药、化学合成药及其制剂等方面的研究、开发、生产和销售。
67,155,川能动力,川化股份有限公司,成都市,青白江区,650912.32,32489.72,188,2000-09-26,--,,氮肥,化工产品贸易、电力销售、化肥行业及化学制品制造业,从事合成氨、尿素、三聚氰胺、硝酸铵、氮磷复合肥、硫酸、硝酸、硫酸钾、过氧化氢、液体二氧化碳、催化剂等化肥、化工产品的生产和销售，风力发电、光伏发电
68,156,华数传媒,华数传媒控股股份有限公司,杭州市,滨江区,320930.79,64127.55,4937,2000-09-06,--,,有线电视,信息传播,杭州地区有线电视网络运营和面向全国的互动电视、手机电视、互联网电视、互联网视频、广告等传媒信息服务业
69,157,中联重科,中联重科股份有限公司,长沙市,岳麓区,2327289.37,133192.37,13461,2000-10-12,--,,工程机械,混凝土机械、起重机械、环境产业、农业机械、金融服务,混凝土机械、起重机械、路面机械、环卫机械等产品及配套件的开发、生产、销售和租赁。
70,158,常山北明,石家庄常山北明科技股份有限公司,石家庄市,长安区,1125446.77,35509.5,5054,2000-07-24,--,,棉纺,纺织业、软件和信息技术服务业,纯棉纱布和涤棉纱布的生产销售；自产产品和技术的进出口业务；棉花批发、零售；软件和信息技术服务业
71,159,国际实业,新疆国际实业股份有限公司,乌鲁木齐市,新市区,35520.48,-6630.53,400,2000-09-26,--,,石油天然气贸易,油品销售、房地产销售,油品批发、零售、仓储、运输；能源贸易；房地产开发与销售。
72,166,申万宏源,申万宏源集团股份有限公司,乌鲁木齐市,天山区,1336778.3,459968.34,13887,2015-01-26,--,,证券,证券及期货经纪业务、证券自营及其他投资业务、证券承销及保荐业务、资产及基金管理业务、信用业务、境外业务,金融投资、股权投资等
73,301,东方盛虹,江苏吴江中国东方丝绸市场股份有限公司,苏州市,吴江区,111202.35,22846.74,573,2000-05-29,--,,火电,电力、热能、营业房出租、房地产开发、广告业务、BT项目管理、平台贸易,房地产开发、营业房出租、热电、石油、天然气。
74,333,美的集团,美的集团股份有限公司,佛山市,顺德区,24071230.1,1728368.9,101826,2013-09-18,--,,空调、小家电,制造业,以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流
